accepted,alpha_constraint_violation,alpha_max_l1_norm,beta_l1_penalty,group_bce,group_cost_bce,iteration,objective,outer_iteration,phase,sample_bce,sample_cost_bce
True,0.0,1.0,0.004202949130502533,1.3544977119001014,0.6772488559500507,1,0.6814518050805533,0,initial,1.3393211403640999,0.6696605701820499
True,0.0,1.0,0.005450132980009431,0.9189075248074486,0.4594537624037243,2,0.4649038953837338,0,initial,0.8355364787205146,0.4177682393602573
True,0.0,1.0,0.005527340441369453,0.6548249628613311,0.32741248143066554,3,0.33293982187203497,0,initial,0.6541830461657442,0.3270915230828721
True,0.0,1.0,0.006162161942609181,0.6477685257265385,0.32388426286326927,4,0.3300464248058784,0,initial,0.6460847986901869,0.32304239934509343
True,0.0,1.0,0.006847685436440987,0.6412301175919554,0.3206150587959777,5,0.32746274423241867,0,initial,0.6386021057567235,0.31930105287836175
True,0.0,1.0,0.00754564334376197,0.6349552789444484,0.3174776394722242,6,0.32502328281598614,0,initial,0.6313867215142591,0.31569336075712956
True,0.0,1.0,0.008236114425123495,0.62892348042799,0.314461740213995,7,0.3226978546391185,0,initial,0.6243883485391307,0.31219417426956536
True,0.0,1.0,0.008906699852031493,0.6231926176100827,0.31159630880504136,8,0.3205030086570729,0,initial,0.6176756726033316,0.3088378363016658
True,0.0,1.0,0.009551461471581058,0.6178358675751366,0.3089179337875683,9,0.31846939525914936,0,initial,0.6113534628098567,0.30567673140492835
True,0.0,1.0,0.0101640063994296,0.612916297874355,0.3064581489371775,10,0.3166221553366071,0,initial,0.6055149145350912,0.3027574572675456
True,0.0,1.0,0.010739219537415017,0.6084666317644405,0.30423331588222025,11,0.31497253541963527,0,initial,0.6002130768144459,0.30010653840722296
True,0.0,1.0,0.011270970648696489,0.6045013791161811,0.30225068955809054,12,0.313521660206787,0,initial,0.5954856387377526,0.2977428193688763
True,0.0,1.0,0.012165582750896003,0.7134917225530223,0.35674586127651114,13,0.36891144402740716,0,initial,0.7245191484780727,0.3622595742390364
True,0.0,1.0,0.01231357141936253,0.6079731355844581,0.30398656779222905,14,0.31630013921159156,0,initial,0.600862426966098,0.300431213483049
True,0.0,1.0,0.012766504874825483,0.6027112163223295,0.30135560816116475,15,0.31412211303599025,0,initial,0.5941429557493818,0.2970714778746909
True,0.0,1.0,0.013199897441128308,0.59818901615547,0.299094508077735,16,0.31229440551886334,0,initial,0.5884073659030623,0.29420368295153115
True,0.0,1.0,0.013608482337461033,0.5943115843295921,0.29715579216479604,17,0.3107642745022571,0,initial,0.583512915782325,0.2917564578911625
True,0.0,1.0,0.013990791390836074,0.5912505737911038,0.2956252868955519,18,0.309616078286388,0,initial,0.5801121984087174,0.2900560992043587
True,0.0,1.0,0.014354373285755808,0.5886759506546387,0.29433797532731937,19,0.30869234861307515,0,initial,0.5773855209597735,0.28869276047988673
